type,value
Crimes contra as pessoas,3591
Crimes de homicídio voluntário consumado,0
Crimes contra a integridade física,2155
Ofensa à integridade física voluntária simples,1039
Violência doméstica contra cônjuge ou análogos,839
Crimes contra o património,3930
Roubo por esticão e na via pública,52
Furto de veículo e em veículo motorizado,390
Crimes contra a identidade cultural e integridade pessoal,0
Crimes contra a vida em sociedade,707
Condução de veículo com taxa de álcool igual ou superior a 1.2 g/l,495
Crimes contra o estado,206
Crimes contra animais de companhia,48
Crimes previstos em legislação avulsa,641
Condução sem habilitação legal,269
