type,value
Crimes contra as pessoas,79864
Crimes de homicídio voluntário consumado,83
Crimes contra a integridade física,52621
Ofensa à integridade física voluntária simples,21538
Violência doméstica contra cônjuge ou análogos,23229
Crimes contra o património,162867
Roubo por esticão e na via pública,8717
Furto de veículo e em veículo motorizado,30636
Crimes contra a identidade cultural e integridade pessoal,89
Crimes contra a vida em sociedade,40074
Condução de veículo com taxa de álcool igual ou superior a 1.2 g/l,15550
Crimes contra o estado,4886
Crimes contra animais de companhia,1905
Crimes previstos em legislação avulsa,24966
Condução sem habilitação legal,9072
