type,value
Crimes contra as pessoas,2511
Crimes de homicídio voluntário consumado,0
Crimes contra a integridade física,1667
Ofensa à integridade física voluntária simples,694
Violência doméstica contra cônjuge ou análogos,719
Crimes contra o património,2583
Roubo por esticão e na via pública,167
Furto de veículo e em veículo motorizado,325
Crimes contra a identidade cultural e integridade pessoal,0
Crimes contra a vida em sociedade,985
Condução de veículo com taxa de álcool igual ou superior a 1.2 g/l,574
Crimes contra o estado,63
Crimes contra animais de companhia,61
Crimes previstos em legislação avulsa,432
Condução sem habilitação legal,159
